"","Line0000Point0002.Raw","Line0000Point0002.Defl","Line0000Point0002.Amp","Line0000Point0002.Phase","Line0000Point0002.Phas2","Line0000Point0002.Freq","Line0000Point0002.ZSnsr","Line0000Point0002.Bias"
"1",-3.71936903320602e-06,3.47939099754058e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.72014642380236e-06,NA
"2",-3.71801775145286e-06,3.48458861765266e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.71821715816623e-06,NA
"3",-3.71635974261153e-06,3.45719897154595e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.71632245332876e-06,NA
"4",-3.71443820768036e-06,3.46280892848938e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.71446776625817e-06,NA
"5",-3.71256624021044e-06,3.48219608703459e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.71264036402863e-06,NA
"6",-3.71099031326594e-06,3.47955619872664e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.71082319361449e-06,NA
"7",-3.70905172530911e-06,3.45002160173635e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.70900193047419e-06,NA
"8",-3.70689622286591e-06,3.44507156135876e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.70716884390276e-06,NA
"9",-3.70550174011441e-06,3.44886652570153e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.70531597582158e-06,NA
"10",-3.70356474377331e-06,3.46082895674726e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.70343082067848e-06,NA
"11",-3.7015176985733e-06,3.46445871990397e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.70150860362628e-06,NA
"12",-3.69963322555122e-06,3.46173623100299e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.69956001122773e-06,NA
"13",-3.69756935469923e-06,3.48681594708466e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.6976075534767e-06,NA
"14",-3.69541839972953e-06,3.47246120746547e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.69567692359851e-06,NA
"15",-3.69379449693952e-06,3.47386364119018e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.69378176401369e-06,NA
"16",-3.69180929737922e-06,3.46115891503018e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.69191684512771e-06,NA
"17",-3.69010945178161e-06,3.44515416195179e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.69006033906771e-06,NA
"18",-3.68822816199099e-06,3.45769390897033e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.68818336937693e-06,NA
"19",-3.68654377780331e-06,3.4631388867723e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.68626137969841e-06,NA
"20",-3.68430005437403e-06,3.47386364119018e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.68428686670086e-06,NA
"21",-3.68225914826326e-06,3.46800632655686e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.68227483704686e-06,NA
"22",-3.68029895980726e-06,3.47683370982566e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.68025553143525e-06,NA
"23",-3.67813890989055e-06,3.44284400988215e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.67826191904896e-06,NA
"24",-3.67608095075411e-06,3.44383410677551e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.67632082998171e-06,NA
"25",-3.67427719538682e-06,3.44317419020967e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.67443954019109e-06,NA
"26",-3.67283769264759e-06,3.43261419288865e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.67259849554102e-06,NA
"27",-3.67080133401032e-06,3.45340400720318e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.67076563634328e-06,NA
"28",-3.66888002645283e-06,3.45662143352854e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.66891663361457e-06,NA
"29",-3.66708854926401e-06,3.43797657009759e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.66703761756071e-06,NA
"30",-3.66521044270485e-06,3.45150641400949e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.66511994798202e-06,NA
"31",-3.6632904993894e-06,3.44614403680055e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.66316294275748e-06,NA
"32",-3.66122640116373e-06,3.43178929718135e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.66118092642864e-06,NA
"33",-3.65889422937471e-06,3.4393792258669e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.65920027434186e-06,NA
"34",-3.65721757589199e-06,3.44300898902361e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.65724304174364e-06,NA
"35",-3.65532241630717e-06,3.44383410677551e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.6553119571181e-06,NA
"36",-3.65346454600513e-06,3.44705153310088e-09,4.87387005754236e-11,57.0025405883789,42.9070816040039,1759681.375,-3.65339610652882e-06,NA
