Frequency,Amp,Phase
946528,0.000360012,-14.101
950278,0.0004673,-14.2548
954028,0.000300407,-0.0823975
957778,0.00041008,-38.6444
961528,0.000331402,-8.06946
965278,0.000355244,-10.3656
969028,0.000417233,-3.49915
972778,0.00048399,-17.287
976528,0.000531673,-13.6285
980278,0.000548363,-16.4191
984028,0.000674725,-5.93811
987778,0.000634193,-12.2113
991528,0.00067234,3.64197
995278,0.000808239,-8.75061
999028,0.000710487,-1.02722
1.00E+06,0.000786781,2.1698
1.01E+06,0.000953674,7.48718
1.01E+06,0.00114441,5.25696
1.01E+06,0.00142097,9.55261
1.02E+06,0.00179291,18.0121
1.02E+06,0.00201225,24.2523
1.03E+06,0.00249624,35.3375
1.03E+06,0.00274897,52.3993
1.03E+06,0.00291824,73.5699
1.04E+06,0.002985,94.9988
1.04E+06,0.00259161,113.544
1.04E+06,0.0022316,131.1
1.05E+06,0.00190496,139.175
1.05E+06,0.00160933,148.876
1.06E+06,0.00141382,154.655
1.06E+06,0.00118256,158.148
1.06E+06,0.000984669,159.51
1.07E+06,0.000898838,164.388
1.07E+06,0.000874996,160.038
1.07E+06,0.000715256,166.124
1.08E+06,0.000548363,159.027
1.08E+06,0.000576973,171.705
1.09E+06,0.000638962,172.485
1.09E+06,0.000545979,172.617
1.09E+06,0.00056982,158.335
1.10E+06,0.000522137,164.718
1.10E+06,0.000352859,181.06
1.10E+06,0.000329018,172.738
1.11E+06,0.000417233,165.828
1.11E+06,0.000343323,172.112
1.12E+06,0.000443459,170.925
1.12E+06,0.000407696,177.792
1.12E+06,0.000407696,165.454
1.13E+06,0.000400543,155.424
1.13E+06,0.000302792,191.86
1.13E+06,0.000433922,182.521
1.14E+06,0.00033617,182.708
1.14E+06,0.000402927,180.873
1.15E+06,0.000295639,171.782
1.15E+06,0.000302792,192.695
1.15E+06,0.000269413,170.914
1.16E+06,0.000371933,181.577
1.16E+06,0.000340939,191.299
1.16E+06,0.000340939,208.845
1.17E+06,0.000193119,211.339
1.17E+06,0.000236034,197.693
1.18E+06,0.000329018,192.2
1.18E+06,0.000188351,179.67
1.18E+06,0.000257492,175.309
1.19E+06,0.000236034,187.213
1.19E+06,0.000283718,174.243
1.19E+06,0.000259876,169.684
1.20E+06,0.000157356,183.697
1.20E+06,0.000190735,163.378
1.21E+06,0.000202656,198.452
1.21E+06,0.000216961,201.824
1.21E+06,0.000193119,185.499
1.22E+06,0.000188351,191.959
1.22E+06,0.000300407,182.873
1.22E+06,0.00023365,148.821
1.23E+06,0.000200272,178.099
1.23E+06,0.000319481,193.749
1.24E+06,0.00015974,203.132
1.24E+06,0.000240803,199.748
1.24E+06,0.000293255,171.387
1.25E+06,0.000226498,178.759
1.25E+06,0.000195503,172.112
1.25E+06,0.000174046,192.881
1.26E+06,0.000267029,171.002
1.26E+06,0.000157356,179.604
1.27E+06,0.000169277,202.901
1.27E+06,0.000171661,156.248
1.27E+06,0.000181198,167.948
1.28E+06,0.000195503,181.511
1.28E+06,0.000200272,182.038
1.28E+06,0.000112057,183.148
1.29E+06,0.000276566,196.155
1.29E+06,0.00014782,205.164
1.30E+06,0.000107288,188.102
1.30E+06,0.00014782,205.615
1.30E+06,0.00014782,183.741
1.31E+06,0.000126362,234.597
1.31E+06,0.000162125,192.684
1.31E+06,0.000197887,236.266
1.32E+06,0.000202656,182.082
1.32E+06,0.000150204,223.347
1.33E+06,0.000209808,208.405
1.33E+06,0.000216961,200.912
1.33E+06,0.000193119,202.275
1.34E+06,0.000202656,206.801
1.34E+06,0.000135899,164.509
1.34E+06,0.000164509,191.739
1.35E+06,0.000200272,226.763
1.35E+06,0.000121593,222.896
1.36E+06,0.000150204,214.074
1.36E+06,0.000224113,188.74
1.36E+06,0.000154972,202.538
1.37E+06,0.000224113,199.265
1.37E+06,0.000240803,192.651
1.37E+06,0.000169277,213.547
1.38E+06,0.000121593,225.104
1.38E+06,0.000178814,184.334
1.39E+06,0.000197887,212.646
1.39E+06,0.000181198,197.661
1.39E+06,0.000181198,202.824
1.40E+06,0.000150204,205.56
1.40E+06,0.000145435,226.818
1.40E+06,0.000121593,220.117
1.41E+06,0.000152588,222.501
1.41E+06,6.44E-05,169.75
1.42E+06,5.48E-05,121.586
1.42E+06,0.000221729,223.555
1.42E+06,0.000171661,206.296
1.43E+06,0.000138283,205.307
1.43E+06,0.000207424,201.143
1.43E+06,0.000190735,201.33
1.44E+06,0.000116825,226.434
1.44E+06,0.000207424,186.004
1.45E+06,0.000121593,209.053
1.45E+06,0.000138283,188.3
1.45E+06,0.000140667,198.913
1.46E+06,0.000112057,237.156
1.46E+06,0.000190735,210.207
1.46E+06,0.000116825,224.742
1.47E+06,0.00017643,215.008
1.47E+06,0.000145435,218.084
1.48E+06,6.91E-05,227.675
1.48E+06,0.000128746,224.116
1.48E+06,9.30E-05,206.417
1.49E+06,0.000188351,208.965
1.49E+06,0.000154972,232.256
1.49E+06,0.00017643,201.583
1.50E+06,0.000128746,211.097
1.50E+06,0.000150204,210.877
1.51E+06,0.00020504,226.785
1.51E+06,0.000181198,224.39
1.51E+06,0.000164509,198.693
1.52E+06,0.000162125,203.505
1.52E+06,0.00017643,208.427
1.52E+06,0.000145435,227.609
1.53E+06,0.000157356,218.557
1.53E+06,0.00015974,238.541
1.54E+06,0.000143051,229.861
1.54E+06,0.000169277,213.755
1.54E+06,0.000162125,198.561
1.55E+06,0.000119209,202.484
1.55E+06,0.000154972,211.624
1.55E+06,0.000116825,199.572
1.56E+06,0.000140667,249.241
1.56E+06,0.000128746,231.191
1.57E+06,0.000178814,200.418
1.57E+06,9.78E-05,260.151
1.57E+06,0.000104904,231.729
1.58E+06,8.82E-05,182.203
1.58E+06,0.000181198,248.066
1.58E+06,0.000112057,230.114
1.59E+06,0.00015974,229.312
1.59E+06,0.000164509,206.79
1.60E+06,0.000157356,208.636
1.60E+06,0.000138283,226.895
1.60E+06,0.000150204,198.847
1.61E+06,0.000107288,209.427
1.61E+06,5.96E-05,205.417
1.61E+06,0.00015974,219.853
1.62E+06,0.00014782,214.525
1.62E+06,0.000252724,220.193
1.63E+06,0.00014782,216.14
1.63E+06,0.000190735,220.226
1.63E+06,9.78E-05,228.181
1.64E+06,0.000152588,212.964
1.64E+06,0.000193119,226.06
